Kode Barang;Nama Barang;Jumlah Unit;Unit;Minimum Order / Unit;Jumlah / Unit;Satuan; Harga Barang / Satuan (Rp) 
IDSS-010;Nota Debet Syariah 2ply @1000 Lembar;4;Box;1 Box;1000;Lembar; 482,85 
IDSS-712;Rekening Koran BCA Syariah @1000 Lembar;22;Box;1 Box;1000;Lembar; 482,85 
IDSS-003;Overlay Tabungan @250 Lembar;76;Pack;1 Pack;250;Lembar; -   
IDSS-004;Spectroline Tabungan @200 Lembar;73;Pack;1 Pack;200;Lembar; -   
IDSS-103;Perubahan Deposito @100 Lembar;30;Pack;1 Pack;100;Lembar; 222,00 
IDSS-104;Plastik Deposito @100 Lembar;99;Pcs;1 Pcs;100;Lembar; 1.387,50 
IDSS-105;Form Data Nasabah BDN Usaha @100 Lembar;1;Pack;1 Pack;100;Lembar; 1.249,86 
IDSS-106;Form Permohonan Penutupan Rek @100 Lembar;42;Pack;1 Pack;100;Lembar; 112,11 
IDSS-112;Slip Transfer Otomatis @100 Lembar;8;Pack;1 Pack;100;Lembar; 438,45 
IDSS-113;Slip Penarikan @250 Lembar;107;Pack;1 Pack;250;Lembar; 72,15 
IDSS-127;Syarat dan Ketentuan Mabrur @100 Lembar;1;Pack;1 Pack;100;Lembar; 189,99 
IDSS-131;Syarat dan Ketentuan Layanan Perbankan @100 Lembar;135;Pack;1 Pack;100;Lembar; 194,25 
IDSS-135;Slip Pemindahan Dana Antar Rekening @100 Lembar;109;Pack;1 Pack;100;Lembar; 172,05 
IDSS-146;Form Pembukaan Rek Badan Usaha @100 Lembar;64;Pack;1 Pack;100;Lembar; 222,00 
IDSS-207;Form Data Nasabah Perorangan @100 Lembar;49;Pack;1 Pack;100;Lembar; 210,90 
IDSS-207;Formulir Data Nasabah Perorangan @100 Lembar;49;Pack;1 Pack;100;Lembar;
IDSS-208;Form Pembukaan Rekening Perorangan @100 Lembar;150;Pack;1 Pack;100;Lembar; 349,65 
IDSS-208;Pembukaan Rekening IDSS 208 @100 Lembar;150;Pack;1 Pack;100;Lembar;
IDSS-209;Formulir Fasilitas @100 Lembar;144;Pack;1 Pack;100;Lembar; 160,95 
IDSS-209;Formulir Fasilitas @100 Lembar;144;Pack;1 Pack;100;Lembar;
IDSS-210;Form Aplikasi Pembukaan Tahapan @100 Lembar;183;Pack;1 Pack;100;Lembar; 172,05 
IDSS-210A;Riplay Trib @100 Lembar;111;Pack;1 Pack;100;Lembar; 194,25 
IDSS-213;Plastik Tahapan Rencana IB @100 Lembar;89;Pack;1 Pack;100;Lembar; 1.100,00 
IDSS-214;Ketentuan-Ketentuan Rekening Simpel @100 Set;22;Buku;1 Buku;100;Set; 364,08 
IDSS-214;Syarat dan Ketentuan Simpel @100 Set;22;Buku;1 Buku;100;Set;
IDSS-215;Form Pembukaan Rekening Simpel @100 Set;46;Buku;1 Buku;100;Set; 187,59 
ILSS-302;Ketentuan Pembiayaan Murabahah @100 Lembar;1;Pack;1 Pack;100;Lembar;
IDSS-501;BPWD-Kliring Penyerahan Syariah @50 Lembar;102;Pack;1 Pack;50;Lembar; 1.648,35 
